"","X","corr","aa","tcr"
"217",12,0.420082538771608,"BLOSUM80","14A4"
"218",13,0.407736546951883,"BLOSUM85","14A4"
"219",14,0.423832125399941,"BLOSUM90","14A4"
"220",15,0.424173843050527,"BLOSUM100","14A4"
"221",16,0.369912237982679,"PAM10","14A4"
"222",17,0.35760892064827,"PAM20","14A4"
"223",18,0.365495955650154,"PAM30","14A4"
"224",19,0.337435155251957,"PAM40","14A4"
"225",20,0.343049686157061,"PAM50","14A4"
"226",21,0.343223060404374,"PAM60","14A4"
"227",22,0.331526892900425,"PAM70","14A4"
"228",23,0.335179061195952,"PAM80","14A4"
"229",24,0.345465782402279,"PAM90","14A4"
"230",25,0.317934509301263,"PAM100","14A4"
"231",26,0.321648340441565,"PAM110","14A4"
"232",27,0.300063538264254,"PAM120","14A4"
"233",28,0.298475662939583,"PAM130","14A4"
"234",29,0.312647267304768,"PAM140","14A4"
"235",30,0.343452591497491,"PAM150","14A4"
"236",31,0.336394542480366,"PAM160","14A4"
"237",32,0.32245382550832,"PAM170","14A4"
"238",33,0.324713755247053,"PAM180","14A4"
"239",34,0.321046847912006,"PAM190","14A4"
"240",35,0.296067704069052,"PAM200","14A4"
"241",36,0.279516983302775,"PAM210","14A4"
"242",37,0.290189330651751,"PAM220","14A4"
"243",38,0.299917098313005,"PAM230","14A4"
"244",39,0.325841005922893,"PAM240","14A4"
"245",40,0.345689401496098,"PAM250","14A4"
"246",41,0.289363065235006,"PAM260","14A4"
"247",42,0.261720611153779,"PAM270","14A4"
"248",43,0.291149365057979,"PAM280","14A4"
"249",44,0.297217537428181,"PAM290","14A4"
"250",45,0.268155364490739,"PAM300","14A4"
"251",46,0.278353432901926,"PAM310","14A4"
"252",47,0.249229274675722,"PAM320","14A4"
"253",48,0.249648334407151,"PAM330","14A4"
"254",49,0.233577604918447,"PAM340","14A4"
"255",50,0.231384271108616,"PAM350","14A4"
"256",51,0.168320627046142,"PAM360","14A4"
"257",52,0.191344742463692,"PAM370","14A4"
"258",53,0.204451833293214,"PAM380","14A4"
"259",54,0.186624716028623,"PAM390","14A4"
"260",55,0.175946577894634,"PAM400","14A4"
"261",56,0.156487108239683,"PAM410","14A4"
"262",57,0.134624590603532,"PAM420","14A4"
"263",58,0.133758802654999,"PAM430","14A4"
"264",59,0.137400073981965,"PAM440","14A4"
"265",60,0.149066855140194,"PAM450","14A4"
"266",61,0.12781587283088,"PAM460","14A4"
"267",62,0.123748460175794,"PAM470","14A4"
"268",63,0.121695262325301,"PAM480","14A4"
"269",64,0.101571812432881,"PAM490","14A4"
"270",65,0.108595731755722,"PAM500","14A4"
"271",66,0.334784436053868,"DAYHOFF","14A4"
"272",67,0.317483886201882,"GONNET","14A4"
"273",0,0.409810542426615,"HAMMING","14D7"
"274",1,0.266676388610538,"BLOSUM62","14D7"
"275",2,0.25500887051175,"BLOSUM30","14D7"
"276",3,0.326629064222262,"BLOSUM35","14D7"
"277",4,0.311444600038674,"BLOSUM40","14D7"
"278",5,0.312564091821797,"BLOSUM45","14D7"
"279",6,0.284643422166628,"BLOSUM50","14D7"
"280",7,0.295185573816087,"BLOSUM55","14D7"
"281",8,0.269130183745338,"BLOSUM60","14D7"
"282",9,0.282992191778563,"BLOSUM65","14D7"
"283",10,0.30045695962727,"BLOSUM70","14D7"
"284",11,0.287304872663165,"BLOSUM75","14D7"
"285",12,0.261690792325797,"BLOSUM80","14D7"
"286",13,0.24762799042745,"BLOSUM85","14D7"
"287",14,0.25092057612502,"BLOSUM90","14D7"
"288",15,0.275992536820338,"BLOSUM100","14D7"
"289",16,0.241278610665956,"PAM10","14D7"
"290",17,0.207278103707416,"PAM20","14D7"
"291",18,0.229224561290042,"PAM30","14D7"
"292",19,0.203795559967243,"PAM40","14D7"
"293",20,0.203224210039435,"PAM50","14D7"
"294",21,0.222298756852019,"PAM60","14D7"
"295",22,0.21289355344356,"PAM70","14D7"
"296",23,0.194632079004097,"PAM80","14D7"
"297",24,0.207968636322179,"PAM90","14D7"
"298",25,0.193957925091435,"PAM100","14D7"
"299",26,0.186780202972107,"PAM110","14D7"
"300",27,0.186268445665074,"PAM120","14D7"
"301",28,0.177129882179684,"PAM130","14D7"
"302",29,0.190776982716042,"PAM140","14D7"
"303",30,0.203902137364926,"PAM150","14D7"
"304",31,0.175406221849406,"PAM160","14D7"
"305",32,0.182652472013038,"PAM170","14D7"
"306",33,0.17061476383512,"PAM180","14D7"
"307",34,0.185080334939617,"PAM190","14D7"
"308",35,0.192644779424964,"PAM200","14D7"
"309",36,0.166877843798711,"PAM210","14D7"
"310",37,0.178984887989626,"PAM220","14D7"
"311",38,0.201713434643247,"PAM230","14D7"
"312",39,0.193079126257875,"PAM240","14D7"
"313",40,0.195497581000631,"PAM250","14D7"
"314",41,0.172704130127326,"PAM260","14D7"
"315",42,0.144570269855778,"PAM270","14D7"
"316",43,0.154923644874358,"PAM280","14D7"
"317",44,0.16181524400318,"PAM290","14D7"
"318",45,0.171071108391502,"PAM300","14D7"
"319",46,0.173817678226201,"PAM310","14D7"
"320",47,0.161399021200483,"PAM320","14D7"
"321",48,0.154169829173037,"PAM330","14D7"
"322",49,0.153831142441389,"PAM340","14D7"
