"","X","WS","NS","NW","aa_matrix","tcr","mean_auc"
"39",38,0.65752886002886,0.8663492165094,0.745829151397801,"PAM230","11A10",0.756569075978687
"40",39,0.693315295815296,0.869441430677129,0.734899497527644,"PAM240","11A10",0.765885408006689
"41",40,0.70025974025974,0.865882767118465,0.733899497527644,"PAM250","11A10",0.76668066830195
"42",41,0.642171717171717,0.849871501496215,0.730190213676484,"PAM260","11A10",0.740744477448139
"43",42,0.647276334776335,0.854553526818973,0.7343736092283,"PAM270","11A10",0.745401156941203
"44",43,0.668834776334776,0.848587263232572,0.717022749561651,"PAM280","11A10",0.744814929709666
"45",44,0.668993506493506,0.847017721663031,0.710326706474304,"PAM290","11A10",0.742112644876947
"46",45,0.598798701298701,0.826242765624917,0.70916784359805,"PAM300","11A10",0.711403103507222
"47",46,0.604512987012987,0.824704304086455,0.714096553332251,"PAM310","11A10",0.714437948143898
"48",47,0.583849206349206,0.841836228861401,0.738808630728539,"PAM320","11A10",0.721498021979715
"49",48,0.598596681096681,0.832442538392195,0.724212704915222,"PAM330","11A10",0.7184173081347
"50",49,0.577525252525253,0.815619884818969,0.716933397266349,"PAM340","11A10",0.703359511536857
"51",50,0.59001443001443,0.809193857248777,0.7009043748014,"PAM350","11A10",0.700037554021536
"52",51,0.573755411255411,0.800479286795076,0.694432882906567,"PAM360","11A10",0.689555860319018
"53",52,0.584098124098124,0.806746287020887,0.716335458591752,"PAM370","11A10",0.702393289903588
"54",53,0.583239538239538,0.782788579333202,0.699984961262993,"PAM380","11A10",0.688671026278578
"55",54,0.569733044733045,0.776977884815413,0.706186049648292,"PAM390","11A10",0.684298993065584
"56",55,0.569733044733045,0.779446044674878,0.706042714722349,"PAM400","11A10",0.68507393471009
"57",56,0.579565295815296,0.778755909739892,0.69362153064327,"PAM410","11A10",0.683980912066152
"58",57,0.567819264069264,0.773874993554628,0.708004025722561,"PAM420","11A10",0.683232761115484
"59",58,0.567819264069264,0.77594181562145,0.704632397350933,"PAM430","11A10",0.682797825680549
"60",59,0.567819264069264,0.776389773460712,0.7064957513882,"PAM440","11A10",0.683568262972725
"61",60,0.576147186147186,0.772276905652192,0.695521199624175,"PAM450","11A10",0.681315097141184
"62",61,0.56728354978355,0.764161630385887,0.691970092836225,"PAM460","11A10",0.674471757668554
"63",62,0.562104978354978,0.768152551745229,0.698646904582831,"PAM470","11A10",0.67630147822768
"64",63,0.57353354978355,0.766178969771647,0.693206866360184,"PAM480","11A10",0.677639795305127
"65",64,0.56728354978355,0.769331948244992,0.688308022640975,"PAM490","11A10",0.674974506889839
"66",65,0.56728354978355,0.76136532549576,0.688785805727453,"PAM500","11A10",0.672478227002255
"67",66,0.70025974025974,0.868330319566017,0.733899497527644,"DAYHOFF","11A10",0.767496519117801
"68",67,0.6927886002886,0.889857206104346,0.754757594807938,"GONNET","11A10",0.779134467066961
"69",0,0.771853741496599,0.937593546804073,0.793950786056049,"HAMMING","12A11",0.834466024785574
"70",1,0.805187074829932,0.936994584363005,0.75027625882889,"BLOSUM62","12A11",0.830819306007276
"71",2,0.780612244897959,0.933064304116936,0.704412254412254,"BLOSUM30","12A11",0.806029601142383
"72",3,0.776955782312925,0.949840072208493,0.703112238638554,"BLOSUM35","12A11",0.809969364386658
"73",4,0.79421768707483,0.944253115305747,0.716286345233714,"BLOSUM40","12A11",0.818252382538097
