,0
116,3824.531520125054
117,4930.723841708451
118,3948.5808643774853
119,5259.128029032264
120,4190.550331784601
121,4525.892362327927
122,3610.0515043760684
123,3373.686764727546
124,4609.914111312162
125,3612.989665246717
126,3581.299571082374
127,4413.118315028035
128,4093.935197399995
129,3214.195798376427
130,4470.702103277551
131,4699.452961490839
132,4079.632199860971
133,3258.2393551857485
134,4220.095779758315
135,5665.187239737553
136,7691.984434173165
137,3764.1575848761613
138,4466.741798041316
139,3407.286041014161
140,4319.620180685578
141,3338.7803741657103
142,5222.81203480447
143,4582.257954199807
144,2911.278906265433
145,3273.5198543728807
146,4256.90199094528
147,3678.1804347338966
148,5704.475422239978
149,3693.2460638492194
150,5631.178219545948
151,7951.352459678112
152,4246.2923518678635
153,4603.310185375585
154,8368.174637290433
155,4035.096118972247
156,3727.3189562019284
157,5150.164224400896
158,3484.253601000693
159,4619.435454800753
160,3115.196980157272
161,3377.9244790133735
162,3783.193332772974
163,4742.839469590927
164,4219.981027153338
165,4673.481310188184
166,3939.124187305882
167,4625.031066800178
168,2994.059274760074
169,4295.214193676297
170,4536.763842041467
171,3904.634253945953
172,4761.254859502608
173,3178.2987848989087
174,3680.9740799839083
175,4539.858408158556
176,3872.3137642040265
177,5172.2457516523245
178,4764.045322515258
179,3814.564369598884
180,3930.060167589478
181,3830.5261519942433
182,2941.0747551409836
183,4055.2891681170045
184,3582.6866328863634
185,3329.664786547036
186,3674.0383745362938
187,3932.410909069723
188,4532.51212480041
189,3095.4525612353636
190,3646.1372662261947
191,4273.9599394339075
192,4096.609201869781
193,3460.6571983273493
194,4239.053059844278
195,5385.144054498472
196,7069.948589665279
197,4478.823265153573
198,5130.9745373127025
199,5305.516484336439
200,5390.553765787109
201,4470.821510657952
202,7309.541250702285
203,3536.9600954933308
204,3699.0267553012427
205,4116.343114448803
206,4194.304228116333
207,4129.529911202024
208,4036.0461584389686
209,5137.923703768555
210,3667.6686323084605
211,3418.134869563086
212,4595.071742393649
213,4369.37175000044
214,3546.0647495538897
215,3625.6949963758816
216,3983.9149608711577
217,4868.480131210678
218,4403.682176341907
219,3210.818240628385
220,3404.4992825687314
221,4976.377527395685
222,5361.094521993261
223,4851.769565227576
224,4611.978361211444
225,3262.3661701010788
226,5546.053112312868
227,3925.5390035918426
228,4252.2309654374685
229,3543.5150100486194
230,4047.0849005720693
231,3294.220618461092
232,3366.089435795002
233,3202.2885592414505
234,4102.795906946874
235,4209.148727377121
236,5476.230600977048
237,4372.064237532233
238,4742.821545318073
239,3027.291914492451
240,3853.343763577965
241,3848.350463570051
242,4748.012739375031
243,5447.6884854257805
244,3571.1273560005275
245,4712.960186523972
246,4983.267948786495
247,3460.7890753376123
248,3378.5550137257796
249,5101.008752477063
250,3660.412023466747
251,2909.7967172488407
252,3921.3342428897977
253,5822.5346226083775
254,4545.9850718651405
255,3546.1435608972124
256,4108.145681555657
257,3168.910223907324
258,7415.201190451718
259,4797.584136928249
260,3357.7427188462602
261,4995.1417034222195
262,3492.2299343950062
263,4462.026976619573
264,6139.600564444138
265,3895.423913352408
266,3306.457418602456
267,3872.7458359314223
268,3120.5610030252174
269,5666.557413236422
270,4724.085262385667
271,4258.623643275717
272,3743.118433879048
273,3381.2909461306667
274,4417.192302756906
275,3637.087540747937
276,4571.221569425439
277,3528.888970506393
278,3349.8961868230836
279,4178.58391725762
280,4510.422519193242
281,8767.091849948947
282,3342.337002486838
283,3307.021661186078
284,5206.24031170576
285,5167.458841919572
286,5051.612329057556
287,4040.1359977214256
288,5421.110696818037
289,3474.9934014915902
290,2949.1000870442613
291,4916.800691538348
292,4054.3450459695423
293,4662.341109157258
294,4514.18367133483
295,4053.8682455239186
296,3085.567252527743
297,3198.6946034252105
298,3188.990627474205
299,3564.2379538937757
300,5711.725262686711
301,3480.074855810746
302,3373.8582009143047
303,3157.755655176933
304,3687.9469594298944
305,3881.434930156257
306,7170.658775994834
307,3520.435337985096
308,3451.039472845235
309,3191.788432640239
310,4335.689739615468
311,2759.821350959
312,5223.58176414391
313,3780.599475433939
314,5225.783499008503
315,8050.856997491211
316,3223.503498577704
317,5470.627372102091
318,3472.371629982795
319,4036.8924673576803
320,3993.3753274158744
321,3758.815061367404
322,6666.563204723802
323,4094.047917132986
324,3921.0764740214736
325,3526.1367403696136
326,3613.2167154061985
327,3231.110826342097
328,5747.527686015541
329,3301.0929823644915
330,7814.092740927952
331,4273.225298235278
332,3075.188950214648
333,3512.7415837997787
334,3987.8438931373094
335,3057.4024552721958
336,3986.874396268383
337,5751.298291180132
338,2998.774977800996
339,3018.681730480537
340,4297.660584464639
341,5150.329123540806
342,3628.0503019983285
343,3500.6667783771454
344,4102.865242294334
345,3537.417972376255
346,3007.8561796611307
347,3318.393745160762
348,4575.484888845721
349,4765.871566271826
350,3310.5300517868427
351,3257.9596048952462
352,3234.9220411211427
353,3820.6031273450963
354,2956.6397540959165
355,3978.8693343765053
356,2948.465434279772
357,3765.0164353536766
358,3199.554207927143
359,4066.1894832882836
360,4141.199071415878
361,3693.8137080854663
362,3747.050070349299
363,2929.8594299645647
364,3666.3444091240544
365,4241.30698234729
366,3231.6850187921013
367,4756.467384942427
368,5168.88308400587
369,5549.979995814862
370,4691.312527498365
371,3480.047476197821
372,3746.712422727376
373,3700.2893913361054
374,2895.3846485884073
375,5962.251650179567
376,3250.8582872904267
377,3742.9425734086435
378,3477.66076241844
