"","tcr","AUC","type","test"
"129","T1",0.759175842509176,"BATMAN (no MHC)","LOO TCR"
"130","FLT3DY",0.641314384359067,"BATMAN (no MHC)","LOO TCR"
"131","A23",0.844667143879742,"BATMAN (no MHC)","LOO TCR"
"132","TCR2-T",0.615904057235881,"BATMAN (no MHC)","LOO TCR"
"133","R24",0.7308191676986,"BATMAN (no MHC)","LOO TCR"
"134","868Z11",0.80049786628734,"BATMAN (no MHC)","LOO TCR"
"135","TCR-1E6",0.669181077320612,"BATMAN (no MHC)","LOO TCR"
"136","APN-TCR",0.564619209357332,"BATMAN (no MHC)","LOO TCR"
"137","EWW-TCR",0.576901294498382,"BATMAN (no MHC)","LOO TCR"
"138","A11Va",0.666906746031746,"BATMAN (no MHC)","LOO TCR"
"139","TCR-F5",NA,"BATMAN (no MHC)","LOO TCR"
"140","TCR-3598-2",NA,"BATMAN (no MHC)","LOO TCR"
"141","MBP-TCR",NA,"BATMAN (no MHC)","LOO TCR"
"142","B3K508",NA,"BATMAN (no MHC)","LOO TCR"
"143","a3a",0.886053226608782,"BATMAN (BLOSUM100)","Within TCR"
"144","TIL1383I",0.717013653013653,"BATMAN (BLOSUM100)","Within TCR"
"145","TCR81-14",0.770508473008473,"BATMAN (BLOSUM100)","Within TCR"
"146","18A2",0.80902074631022,"BATMAN (BLOSUM100)","Within TCR"
"147","NYE-S1",0.801503051346801,"BATMAN (BLOSUM100)","Within TCR"
"148","TCR6",0.801961608080029,"BATMAN (BLOSUM100)","Within TCR"
"149","TCR7",0.784477627888428,"BATMAN (BLOSUM100)","Within TCR"
"150","A6",0.77116750488074,"BATMAN (BLOSUM100)","Within TCR"
"151","T1",0.848393682480576,"BATMAN (BLOSUM100)","Within TCR"
"152","FLT3DY",0.804246433313558,"BATMAN (BLOSUM100)","Within TCR"
"153","A23",0.853193807044382,"BATMAN (BLOSUM100)","Within TCR"
"154","TCR2-T",0.773126373626374,"BATMAN (BLOSUM100)","Within TCR"
"155","R24",0.842389169472503,"BATMAN (BLOSUM100)","Within TCR"
"156","868Z11",0.779344815411545,"BATMAN (BLOSUM100)","Within TCR"
"157","TCR-1E6",0.747716997310145,"BATMAN (BLOSUM100)","Within TCR"
"158","APN-TCR",0.791018368023302,"BATMAN (BLOSUM100)","Within TCR"
"159","EWW-TCR",0.784579161018555,"BATMAN (BLOSUM100)","Within TCR"
"160","A11Va",0.8217323260937,"BATMAN (BLOSUM100)","Within TCR"
"161","TCR-F5",0.876612912779156,"BATMAN (BLOSUM100)","Within TCR"
"162","TCR-3598-2",0.872026620996907,"BATMAN (BLOSUM100)","Within TCR"
"163","MBP-TCR",0.912366843396255,"BATMAN (BLOSUM100)","Within TCR"
"164","B3K508",0.78525012025012,"BATMAN (BLOSUM100)","Within TCR"
"165","a3a",0.52676051800786,"BATMAN (BLOSUM100)","LOO TCR"
"166","TIL1383I",0.67233050637306,"BATMAN (BLOSUM100)","LOO TCR"
"167","TCR81-14",0.613962842712843,"BATMAN (BLOSUM100)","LOO TCR"
"168","18A2",0.680575591758902,"BATMAN (BLOSUM100)","LOO TCR"
"169","NYE-S1",0.612093390939545,"BATMAN (BLOSUM100)","LOO TCR"
"170","TCR6",0.557284354070846,"BATMAN (BLOSUM100)","LOO TCR"
"171","TCR7",0.703624338624339,"BATMAN (BLOSUM100)","LOO TCR"
"172","A6",0.630760320760321,"BATMAN (BLOSUM100)","LOO TCR"
