"","al_round","tcr","auc","al_type"
"301","7","NYE-S1",0.779353423947528,"All random"
"302","8","NYE-S1",0.786183748645564,"All random"
"303","9","NYE-S1",0.79132653990385,"All random"
"304","10","NYE-S1",0.79851091891246,"All random"
"305","1","TCR6",0.732806571347508,"All random"
"306","2","TCR6",0.759941415034074,"All random"
"307","3","TCR6",0.764611488273843,"All random"
"308","4","TCR6",0.768224288241191,"All random"
"309","5","TCR6",0.768123418424296,"All random"
"310","6","TCR6",0.767088269648204,"All random"
"311","7","TCR6",0.765175389204131,"All random"
"312","8","TCR6",0.766614418370524,"All random"
"313","9","TCR6",0.768877178640998,"All random"
"314","10","TCR6",0.771742678170152,"All random"
"315","1","TCR7",0.754400422414276,"All random"
"316","2","TCR7",0.770205097167346,"All random"
"317","3","TCR7",0.767213281815443,"All random"
"318","4","TCR7",0.767977786037504,"All random"
"319","5","TCR7",0.7720943139023,"All random"
"320","6","TCR7",0.775802341364336,"All random"
"321","7","TCR7",0.775832229427551,"All random"
"322","8","TCR7",0.778560250579601,"All random"
"323","9","TCR7",0.779534305415464,"All random"
"324","10","TCR7",0.783219034016153,"All random"
"325","1","A6",0.739677862668528,"All random"
"326","2","A6",0.746796436079274,"All random"
"327","3","A6",0.753596907786547,"All random"
"328","4","A6",0.75684668766369,"All random"
"329","5","A6",0.760049530918755,"All random"
"330","6","A6",0.766802613253805,"All random"
"331","7","A6",0.777275044937663,"All random"
"332","8","A6",0.781581320562743,"All random"
"333","9","A6",0.784202903849771,"All random"
"334","10","A6",0.788239571659284,"All random"
"335","1","T1",0.812066680598536,"All random"
"336","2","T1",0.830984608205498,"All random"
"337","3","T1",0.834415922063942,"All random"
"338","4","T1",0.832737443715779,"All random"
"339","5","T1",0.832305226558777,"All random"
"340","6","T1",0.829732809513332,"All random"
"341","7","T1",0.833936080559925,"All random"
"342","8","T1",0.837247916663515,"All random"
"343","9","T1",0.836565756158941,"All random"
"344","10","T1",0.83691342366367,"All random"
"345","1","FLT3DY",0.671070397003916,"All random"
"346","2","FLT3DY",0.708508323470847,"All random"
"347","3","FLT3DY",0.730033869705535,"All random"
"348","4","FLT3DY",0.745553690837073,"All random"
"349","5","FLT3DY",0.754034276502067,"All random"
"350","6","FLT3DY",0.763603705364558,"All random"
"351","7","FLT3DY",0.768682145766268,"All random"
"352","8","FLT3DY",0.777881466581781,"All random"
"353","9","FLT3DY",0.780885589907955,"All random"
"354","10","FLT3DY",0.785698142056877,"All random"
"355","1","A23",0.810520301498047,"All random"
"356","2","A23",0.819846964495346,"All random"
"357","3","A23",0.825388495016072,"All random"
"358","4","A23",0.828262006448078,"All random"
"359","5","A23",0.828863061130748,"All random"
"360","6","A23",0.828575136907384,"All random"
"361","7","A23",0.828171213432546,"All random"
"362","8","A23",0.828637395669471,"All random"
"363","9","A23",0.831025381358421,"All random"
"364","10","A23",0.828518878997804,"All random"
"365","1","TCR2-T",0.673497380140567,"All random"
"366","2","TCR2-T",0.698386267990544,"All random"
"367","3","TCR2-T",0.709187036431107,"All random"
"368","4","TCR2-T",0.723071378498199,"All random"
"369","5","TCR2-T",0.72772431618437,"All random"
"370","6","TCR2-T",0.73309391121376,"All random"
"371","7","TCR2-T",0.736059831017714,"All random"
"372","8","TCR2-T",0.739037937613484,"All random"
"373","9","TCR2-T",0.74052228549542,"All random"
"374","10","TCR2-T",0.743781104923687,"All random"
"375","1","868Z11",0.714521042152004,"All random"
"376","2","868Z11",0.709353409364225,"All random"
"377","3","868Z11",0.715685036258045,"All random"
"378","4","868Z11",0.722832264683773,"All random"
"379","5","868Z11",0.727354716712029,"All random"
"380","6","868Z11",0.726724362708431,"All random"
"381","7","868Z11",0.730311032113734,"All random"
"382","8","868Z11",0.736603644760591,"All random"
"383","9","868Z11",0.734917238641993,"All random"
"384","10","868Z11",0.737811145673113,"All random"
"385","1","a3a",0.853297177115742,"Random after step 2"
"386","2","a3a",0.876306724145643,"Random after step 2"
"387","3","a3a",0.870517710819786,"Random after step 2"
"388","4","a3a",0.867298268002007,"Random after step 2"
"389","5","a3a",0.860584215470712,"Random after step 2"
"390","6","a3a",0.858610714772884,"Random after step 2"
"391","7","a3a",0.858747499459794,"Random after step 2"
"392","8","a3a",0.85619332041982,"Random after step 2"
"393","9","a3a",0.857530337500686,"Random after step 2"
"394","10","a3a",0.856584312141496,"Random after step 2"
"395","1","TCR81-14",0.73869494245265,"Random after step 2"
"396","2","TCR81-14",0.708776794201614,"Random after step 2"
"397","3","TCR81-14",0.716848858725222,"Random after step 2"
"398","4","TCR81-14",0.717105154446009,"Random after step 2"
"399","5","TCR81-14",0.721541739181299,"Random after step 2"
"400","6","TCR81-14",0.724956678671525,"Random after step 2"
"401","7","TCR81-14",0.727311340673328,"Random after step 2"
"402","8","TCR81-14",0.728432139291097,"Random after step 2"
"403","9","TCR81-14",0.732073435822253,"Random after step 2"
"404","10","TCR81-14",0.731575384723325,"Random after step 2"
"405","1","18A2",0.803523484123795,"Random after step 2"
"406","2","18A2",0.824264737103638,"Random after step 2"
"407","3","18A2",0.836514734949035,"Random after step 2"
"408","4","18A2",0.839770738182067,"Random after step 2"
"409","5","18A2",0.841124420726974,"Random after step 2"
"410","6","18A2",0.844209780612746,"Random after step 2"
"411","7","18A2",0.847936761176735,"Random after step 2"
"412","8","18A2",0.849407597280232,"Random after step 2"
"413","9","18A2",0.851643070463938,"Random after step 2"
"414","10","18A2",0.850183424084307,"Random after step 2"
"415","1","NYE-S1",0.685646939098994,"Random after step 2"
"416","2","NYE-S1",0.721320174933465,"Random after step 2"
"417","3","NYE-S1",0.726509046400696,"Random after step 2"
"418","4","NYE-S1",0.735994593480925,"Random after step 2"
"419","5","NYE-S1",0.743295568675406,"Random after step 2"
"420","6","NYE-S1",0.754314720025977,"Random after step 2"
"421","7","NYE-S1",0.764700084382497,"Random after step 2"
"422","8","NYE-S1",0.767085931897138,"Random after step 2"
"423","9","NYE-S1",0.770921875026743,"Random after step 2"
"424","10","NYE-S1",0.775392550730678,"Random after step 2"
"425","1","TCR6",0.703177900242694,"Random after step 2"
"426","2","TCR6",0.745992556541382,"Random after step 2"
"427","3","TCR6",0.753994017294972,"Random after step 2"
"428","4","TCR6",0.75550622261925,"Random after step 2"
"429","5","TCR6",0.75856277792475,"Random after step 2"
"430","6","TCR6",0.760454908430049,"Random after step 2"
"431","7","TCR6",0.76054990972454,"Random after step 2"
"432","8","TCR6",0.762833181248015,"Random after step 2"
"433","9","TCR6",0.762874818150464,"Random after step 2"
"434","10","TCR6",0.763398408542764,"Random after step 2"
"435","1","TCR7",0.78786830308015,"Random after step 2"
"436","2","TCR7",0.766390723794366,"Random after step 2"
"437","3","TCR7",0.787550352015124,"Random after step 2"
"438","4","TCR7",0.789533719760548,"Random after step 2"
"439","5","TCR7",0.792342800769653,"Random after step 2"
"440","6","TCR7",0.793939013520153,"Random after step 2"
"441","7","TCR7",0.792562387431417,"Random after step 2"
"442","8","TCR7",0.795690530682321,"Random after step 2"
"443","9","TCR7",0.799280946063108,"Random after step 2"
"444","10","TCR7",0.799637882811714,"Random after step 2"
"445","1","A6",0.767116153747732,"Random after step 2"
"446","2","A6",0.759859869788576,"Random after step 2"
"447","3","A6",0.77069352826163,"Random after step 2"
"448","4","A6",0.767557041256637,"Random after step 2"
"449","5","A6",0.770556996882261,"Random after step 2"
"450","6","A6",0.771973983990807,"Random after step 2"
"451","7","A6",0.775733551529945,"Random after step 2"
"452","8","A6",0.778674736016868,"Random after step 2"
"453","9","A6",0.782483854706408,"Random after step 2"
"454","10","A6",0.789280964851496,"Random after step 2"
"455","1","T1",0.838709325396825,"Random after step 2"
"456","2","T1",0.83343771043771,"Random after step 2"
"457","3","T1",0.834491257594112,"Random after step 2"
"458","4","T1",0.833021467180297,"Random after step 2"
"459","5","T1",0.831514539334224,"Random after step 2"
"460","6","T1",0.826665462938962,"Random after step 2"
"461","7","T1",0.826342627116318,"Random after step 2"
"462","8","T1",0.828384754954919,"Random after step 2"
"463","9","T1",0.831511303948036,"Random after step 2"
"464","10","T1",0.828913575060486,"Random after step 2"
"465","1","FLT3DY",0.477531488377639,"Random after step 2"
"466","2","FLT3DY",0.549346921119632,"Random after step 2"
"467","3","FLT3DY",0.665785787698437,"Random after step 2"
"468","4","FLT3DY",0.705441717114964,"Random after step 2"
"469","5","FLT3DY",0.732599678211068,"Random after step 2"
