"","tcr","auc","fpeptide","pooling"
"143","EWW-TCR",0.826734188931159,1,"BATMAN pooled"
"144","A11Va",0.839802767134369,1,"BATMAN pooled"
"145","18A2",0.780544590643275,0.3,"BATMAN unpooled"
"146","868Z11",0.624495265942634,0.3,"BATMAN unpooled"
"147","A11Va",0.761843697390572,0.3,"BATMAN unpooled"
"148","A23",0.901703042328042,0.3,"BATMAN unpooled"
"149","A6",0.739165046183763,0.3,"BATMAN unpooled"
"150","APN-TCR",0.719016335227273,0.3,"BATMAN unpooled"
"151","EWW-TCR",0.82317294973545,0.3,"BATMAN unpooled"
"152","FLT3DY",0.658339148059543,0.3,"BATMAN unpooled"
"153","NYE-S1",0.755132656695157,0.3,"BATMAN unpooled"
"154","R24",0.858703519988242,0.3,"BATMAN unpooled"
"155","T1",0.729246487867177,0.3,"BATMAN unpooled"
"156","TCR-1E6",0.668895747599451,0.3,"BATMAN unpooled"
"157","TCR2-T",0.69759460547504,0.3,"BATMAN unpooled"
"158","TCR6",0.757393310778728,0.3,"BATMAN unpooled"
"159","TCR7",0.75626159554731,0.3,"BATMAN unpooled"
"160","TCR81-14",0.750715863997114,0.3,"BATMAN unpooled"
"161","TIL1383I",0.665824915824916,0.3,"BATMAN unpooled"
"162","a3a",0.876418142043142,0.3,"BATMAN unpooled"
"163","18A2",0.80247163573918,0.4,"BATMAN unpooled"
"164","868Z11",0.76452304359125,0.4,"BATMAN unpooled"
"165","A11Va",0.798169506501265,0.4,"BATMAN unpooled"
"166","A23",0.850177502968964,0.4,"BATMAN unpooled"
"167","A6",0.776537224148169,0.4,"BATMAN unpooled"
"168","APN-TCR",0.752549284104344,0.4,"BATMAN unpooled"
"169","EWW-TCR",0.759312749503619,0.4,"BATMAN unpooled"
"170","FLT3DY",0.747434533644835,0.4,"BATMAN unpooled"
"171","NYE-S1",0.784666498800021,0.4,"BATMAN unpooled"
"172","R24",0.81470979117083,0.4,"BATMAN unpooled"
"173","T1",0.831728179371474,0.4,"BATMAN unpooled"
"174","TCR-1E6",0.702484572690858,0.4,"BATMAN unpooled"
"175","TCR2-T",0.749327698411549,0.4,"BATMAN unpooled"
"176","TCR6",0.756114935955162,0.4,"BATMAN unpooled"
"177","TCR7",0.761871658883004,0.4,"BATMAN unpooled"
"178","TCR81-14",0.742553039793299,0.4,"BATMAN unpooled"
"179","TIL1383I",0.703887329601615,0.4,"BATMAN unpooled"
"180","a3a",0.853805857575699,0.4,"BATMAN unpooled"
"181","18A2",0.818884085613139,0.5,"BATMAN unpooled"
"182","868Z11",0.764697603683538,0.5,"BATMAN unpooled"
"183","A11Va",0.816437244157385,0.5,"BATMAN unpooled"
"184","A23",0.850051982082303,0.5,"BATMAN unpooled"
"185","A6",0.792315005761495,0.5,"BATMAN unpooled"
"186","APN-TCR",0.769123996092103,0.5,"BATMAN unpooled"
"187","EWW-TCR",0.786580212233295,0.5,"BATMAN unpooled"
"188","FLT3DY",0.769532669205004,0.5,"BATMAN unpooled"
"189","NYE-S1",0.794582174390903,0.5,"BATMAN unpooled"
"190","R24",0.832592551127034,0.5,"BATMAN unpooled"
"191","T1",0.811806933085478,0.5,"BATMAN unpooled"
"192","TCR-1E6",0.73862167256091,0.5,"BATMAN unpooled"
"193","TCR2-T",0.763210401819847,0.5,"BATMAN unpooled"
"194","TCR6",0.771540067965128,0.5,"BATMAN unpooled"
"195","TCR7",0.778902202847745,0.5,"BATMAN unpooled"
"196","TCR81-14",0.761057173988208,0.5,"BATMAN unpooled"
"197","TIL1383I",0.732618087531881,0.5,"BATMAN unpooled"
"198","a3a",0.878192165787951,0.5,"BATMAN unpooled"
"199","18A2",0.822408752896082,0.7,"BATMAN unpooled"
"200","868Z11",0.776792495307533,0.7,"BATMAN unpooled"
"201","A11Va",0.823538409014299,0.7,"BATMAN unpooled"
"202","A23",0.869354594131095,0.7,"BATMAN unpooled"
"203","A6",0.798482549772859,0.7,"BATMAN unpooled"
"204","APN-TCR",0.781342074617482,0.7,"BATMAN unpooled"
"205","EWW-TCR",0.806111350727971,0.7,"BATMAN unpooled"
"206","FLT3DY",0.82591939778298,0.7,"BATMAN unpooled"
"207","NYE-S1",0.817649966300535,0.7,"BATMAN unpooled"
"208","R24",0.834687432688274,0.7,"BATMAN unpooled"
"209","T1",0.85692889118809,0.7,"BATMAN unpooled"
"210","TCR-1E6",0.767193989682313,0.7,"BATMAN unpooled"
"211","TCR2-T",0.785367433604149,0.7,"BATMAN unpooled"
"212","TCR6",0.790401918130963,0.7,"BATMAN unpooled"
"213","TCR7",0.781199534107976,0.7,"BATMAN unpooled"
"214","TCR81-14",0.773983265144881,0.7,"BATMAN unpooled"
"215","TIL1383I",0.736924484045696,0.7,"BATMAN unpooled"
"216","a3a",0.871772431957617,0.7,"BATMAN unpooled"
"217","18A2",0.826906484962406,0.9,"BATMAN unpooled"
"218","868Z11",0.780269808946971,0.9,"BATMAN unpooled"
"219","A11Va",0.830234303037278,0.9,"BATMAN unpooled"
"220","A23",0.877060065307192,0.9,"BATMAN unpooled"
"221","A6",0.811976210583831,0.9,"BATMAN unpooled"
"222","APN-TCR",0.792635551455124,0.9,"BATMAN unpooled"
"223","EWW-TCR",0.818057064147973,0.9,"BATMAN unpooled"
"224","FLT3DY",0.846338544515842,0.9,"BATMAN unpooled"
"225","NYE-S1",0.826567473614349,0.9,"BATMAN unpooled"
"226","R24",0.844990079365079,0.9,"BATMAN unpooled"
"227","T1",0.855087216940911,0.9,"BATMAN unpooled"
"228","TCR-1E6",0.793060039258623,0.9,"BATMAN unpooled"
"229","TCR2-T",0.794618852966679,0.9,"BATMAN unpooled"
"230","TCR6",0.798464281251562,0.9,"BATMAN unpooled"
"231","TCR7",0.786930788863803,0.9,"BATMAN unpooled"
"232","TCR81-14",0.78653308034558,0.9,"BATMAN unpooled"
"233","TIL1383I",0.747130447330447,0.9,"BATMAN unpooled"
"234","a3a",0.879224726405282,0.9,"BATMAN unpooled"
"235","18A2",0.826673326835608,1,"BATMAN unpooled"
"236","868Z11",0.779591463778494,1,"BATMAN unpooled"
"237","A11Va",0.83229590472906,1,"BATMAN unpooled"
"238","A23",0.879207121103673,1,"BATMAN unpooled"
"239","A6",0.81248421995414,1,"BATMAN unpooled"
"240","APN-TCR",0.78437567137622,1,"BATMAN unpooled"
"241","EWW-TCR",0.820927419942571,1,"BATMAN unpooled"
"242","FLT3DY",0.841610579479001,1,"BATMAN unpooled"
"243","NYE-S1",0.827565964128464,1,"BATMAN unpooled"
"244","R24",0.847309203142537,1,"BATMAN unpooled"
"245","T1",0.856806962512649,1,"BATMAN unpooled"
"246","TCR-1E6",0.793182107743216,1,"BATMAN unpooled"
